name, raw_price, raw_rating, is_in_stock, url, product_code, retailer, category
"Laptop HP EliteBook 840 G11 (Procesor Intel® Core™ Ultra 5 125U (12M Cache, up to 4.30 GHz), 16"" WUXGA, 16GB DDR5, 512GB SSD, Intel Graphics, Windows 11 Pro, Argintiu)",5529.99,-1,1,https://www.evomag.ro/portabile-laptopuri-notebook/hp-laptop-hp-elitebook-840-g11-procesor-intel-core-ultra-5-125u-12m-cache-up-to-4.30-ghz-16-wuxga-16gb-ddr5-512gb-ssd-intel-graphics-windows-11-pro-argintiu-4167913.html,970R8ET,evomag,Laptopuri / Notebook
"Laptop Acer Swift Go 14 SFG14-72 (Procesor Intel® Core™ Ultra 5 125H (18M Cache, up to 4.50 GHz) 14"" WQXGA+, 16GB, 1TB SSD, Intel Arc Graphics, Windows 11 Home, Argintiu)",4624.99,-1,1,https://www.evomag.ro/portabile-laptopuri-notebook/acer-laptop-acer-swift-go-14-sfg14-72-procesor-intel-core-ultra-5-125h-18m-cache-up-to-4.50-ghz-14-wqxga-16gb-1tb-ssd-intel-arc-graphics-windows-11-home-argintiu-4157712.html,NX.KP0EX.005,evomag,Laptopuri / Notebook
"Laptop Dell Latitude 5440 (Procesor Intel® Core™ i7-1370P (12M Cache, up to 4.70 GHz) 14"" FHD, 32GB DDR5, 1TB  SSD, Intel Iris Xe Graphics, Win 11 Pro, Gri)",8099.99,-1,1,https://www.evomag.ro/portabile-laptopuri-notebook/dell-laptop-dell-latitude-5440-procesor-intel-core-i7-1370p-12m-cache-up-to-4.70-ghz-14-fhd-32gb-ddr5-1tb-ssd-intel-iris-xe-graphics-win-11-pro-gri-4144845.html,DL5440FI71370P32GB1TBW3Y_250N-05,evomag,Laptopuri / Notebook
"Nou! Laptop Apple MacBook Air 15 (Procesor Apple M3 (8-core CPU), 15.3"" Liquid Retina, 24GB, 512GB SSD, Apple M3 10-core GPU, Mac OS, Layout INT, Auriu)",10999.99,-1,1,https://www.evomag.ro/portabile-laptopuri-notebook/apple-laptop-apple-macbook-air-15-procesor-apple-m3-8-core-cpu-15.3-liquid-retina-24gb-512gb-ssd-apple-m3-10-core-gpu-mac-os-layout-int-auriu-4179752.html,Z1GF0018E,evomag,Laptopuri / Notebook
"Nou! Laptop ASUS VivoBook S 16 OLED M5606WA (Procesor AMD Ryzen™ AI 9 365 (24M Cache, up to 5.0 GHz) 16"" 3.2K 120Hz, 24GB, 1TB SSD, AMD Radeon 880M Graphics, Negru)",5599.99,-1,1,https://www.evomag.ro/portabile-laptopuri-notebook/asus-laptop-asus-vivobook-s-16-oled-m5606wa-procesor-amd-ryzen-ai-9-365-24m-cache-up-to-5.0-ghz-16-3.2k-120hz-24gb-1tb-ssd-amd-radeon-880m-graphics-negru-4179785.html,M5606WA-MX047,evomag,Laptopuri / Notebook
"Nou! Laptop ASUS Vivobook 16X K3605ZC (Procesor Intel® Core™ i7-12700H (24M Cache, up to 4.70 GHz), 16"" WUXGA 144Hz, 16GB DDR4, 1TB SSD, NVIDIA GeForce RTX 3050 @4GB, Negru)",3999.99,-1,1,https://www.evomag.ro/portabile-laptopuri-notebook/asus-laptop-asus-vivobook-16x-k3605zc-procesor-intel-core-i7-12700h-24m-cache-up-to-4.70-ghz-16-wuxga-144hz-16gb-ddr4-1tb-ssd-nvidia-geforce-rtx-3050-4gb-negru-4179817.html,K3605ZC-RP522,evomag,Laptopuri / Notebook
"Laptop Gaming Lenovo LOQ 15ARP9 (Procesor AMD Ryzen™ 7 7435HS (16M Cache, up to 4.50 GHz), 15.6"" Full HD IPS 144Hz, 12GB DDR5, 512GB SSD, NVIDIA GeForce RTX 4050 @6GB, No OS, Gri)",4225.99,-1,1,https://www.evomag.ro/portabile-laptopuri-notebook/lenovo-laptop-gaming-lenovo-loq-15arp9-procesor-amd-ryzen-7-7435hs-16m-cache-up-to-4.50-ghz-15.6-full-hd-ips-144hz-12gb-ddr5-512gb-ssd-nvidia-geforce-rtx-4050-6gb-no-os-gri-4168749.html,83JC0043RM,evomag,Laptopuri / Notebook
"Nou! Laptop Acer Swift 14 AI SF14-11 (Procesor Snapdragon® X Plus X1P-64-100, 14.5"" WQXGA IPS 120Hz, 16GB, 1TB SSD, Qualcomm® Adreno Graphics, Win 11 Home, Gri)",6131.99,-1,1,https://www.evomag.ro/portabile-laptopuri-notebook/acer-laptop-acer-swift-14-ai-sf14-11-procesor-snapdragon-x-plus-x1p-64-100-14.5-wqxga-ips-120hz-16gb-1tb-ssd-qualcomm-adreno-graphics-win-11-home-gri-4178193.html,NX.KZXEX.003,evomag,Laptopuri / Notebook
"Laptop ASUS Vivobook S 15 S5507QA (Procesor Snapdragon® X Elite X1E 78 100 (42M Cache, up to 3.40 GHz) 15.6"" OLED 3K 120Hz, 32GB, 1TB SSD, Qualcomm® Adreno Graphics, Win 11 Pro, Argintiu)",7099.99,-1,1,https://www.evomag.ro/portabile-laptopuri-notebook/asus-laptop-asus-vivobook-s-15-s5507qa-procesor-snapdragon-x-elite-x1e-78-100-42m-cache-up-to-3.40-ghz-15.6-oled-3k-120hz-32gb-1tb-ssd-qualcomm-adreno-graphics-win-11-pro-argintiu-4161564.html,S5507QA-MA064X,evomag,Laptopuri / Notebook
"Laptop ASUS Vivobook S 14 OLED S5406MA (Procesor Intel® Core™ Ultra 7 155H (24M Cache, up to 4.80 GHz) 14"" WUXGA, 16GB, 512GB SSD, Intel Arc Graphics, Windows 11 Pro, Negru)",5499.99,-1,1,https://www.evomag.ro/portabile-laptopuri-notebook/asus-laptop-asus-vivobook-s-14-oled-s5406ma-procesor-intel-core-ultra-7-155h-24m-cache-up-to-4.80-ghz-14-wuxga-16gb-512gb-ssd-intel-arc-graphics-windows-11-pro-negru-4159344.html,S5406MA-QD150X,evomag,Laptopuri / Notebook
"Laptop Gaming Lenovo Legion 7 16IRX9 (Procesor Intel® Core™ i9-14900HX (36M Cache, up to 5.80 GHz), 16"" 3.2K IPS 165Hz G-Sync, 32GB DDR5, 1TB SSD, NVIDIA GeForce RTX 4060 @8GB, DLSS 3.0, Alb)",9199.99,-1,1,https://www.evomag.ro/portabile-laptopuri-notebook/lenovo-laptop-gaming-lenovo-legion-7-16irx9-procesor-intel-core-i9-14900hx-36m-cache-up-to-5.80-ghz-16-3.2k-ips-165hz-g-sync-32gb-ddr5-1tb-ssd-nvidia-geforce-rtx-4060-8gb-dlss-3.0-alb-4159440.html,83FD004PRM,evomag,Laptopuri / Notebook
"Laptop ASUS Vivobook X1504VA (Procesor Intel Core i5-1335U (12M Cache, up to 4.60 GHz) 15.6"" FHD, 16GB, 512GB SSD, Intel Iris Xe Graphics, Argintiu)",2440.99,-1,1,https://www.evomag.ro/portabile-laptopuri-notebook/asus-laptop-asus-vivobook-x1504va-procesor-intel-core-i5-1335u-12m-cache-up-to-4.60-ghz-15.6-fhd-16gb-512gb-ssd-intel-iris-xe-graphics-argintiu-4173495.html,X1504VA-BQ005,evomag,Laptopuri / Notebook
"Laptop Gaming ASUS ROG Strix SCAR 16 G634JYR (Procesor Intel® Core™ i9-14900HX (36M Cache, up to 5.80 GHz), 16"" QHD+ 240Hz, 64GB, 2 x 1TB SSD, NVIDIA GeForce RTX 4090 @16GB, Win 11  Pro, Negru) + ROG BP4701 backpack + ROG Fusion II 300 + ROG...",21199.99,-1,1,https://www.evomag.ro/portabile-laptopuri-notebook/asus-laptop-gaming-asus-rog-strix-scar-16-g634jyr-procesor-intel-core-i9-14900hx-36m-cache-up-to-5.80-ghz-16-qhd-240hz-64gb-2-x-1tb-ssd-nvidia-geforce-rtx-4090-16gb-win-11-pro-negru-rog-bp4701-backpack-rog-fusion-ii-300-rog-gladius-iii-4149344.html,G634JYR-RA052X,evomag,Laptopuri / Notebook
"Laptop Lenovo IdeaPad 1 15AMN7 (Procesor AMD Ryzen™ 3 7320U (4M Cache, up to 4.1 GHz) 15.6"" FHD, 8GB DDR5, 512GB SSD, AMD Radeon 610M Graphics, Gri)",1714.99,-1,1,https://www.evomag.ro/portabile-laptopuri-notebook/lenovo-laptop-lenovo-ideapad-1-15amn7-procesor-amd-ryzen-3-7320u-4m-cache-up-to-4.1-ghz-15.6-fhd-8gb-ddr5-512gb-ssd-amd-radeon-610m-graphics-gri-4173825.html,82VG00EJRM,evomag,Laptopuri / Notebook
"Laptop Dell Latitude 5430 Rugged (Procesor Intel® Core™ i7-1185G7 (12M Cache, up to 4.80 GHz) 14"" FHD Touch, 32GB, 1TB SSD, Intel Iris Xe Graphics, 5G, Win11 Pro, Negru)",15499.99,-1,1,https://www.evomag.ro/portabile-laptopuri-notebook/dell-laptop-dell-latitude-5430-rugged-procesor-intel-core-i7-1185g7-12m-cache-up-to-4.80-ghz-14-fhd-touch-32gb-1tb-ssd-intel-iris-xe-graphics-5g-win11-pro-negru-4121095.html,DL5430RUGGI73215GW11P,evomag,Laptopuri / Notebook
