"Asus AS RUCSAC BP1500G ROG 15.6"" BK",145.99,-1,1,https://www.vexio.ro/genti-rucsaci-si-huse/asus/312037-as-rucsac-bp1500g-rog-15-6-bk/,90XB0510-BBP000,vexio,/images/90XB0510-BBP000.jpeg,Laptop & Accesorii
Memorie laptop G.Skill F4-2133C15D-8GRS Ripjaws 8GB DDR4 2133MHz CL15,111.99,-1,1,https://www.vexio.ro/memorii-laptop/g-skill/320139-f4-2133c15d-8grs-ripjaws-8gb-ddr4-2133mhz-cl15/,F4-2133C15D-8GRS,vexio,/images/F4-2133C15D-8GRS.jpeg,Laptop & Accesorii
Memorie laptop G.Skill F4-2666C19S-16GRSSO 16GB DDR4 2666MHz CL19...,139.99,-1,1,https://www.vexio.ro/memorii-laptop/g-skill/320147-f4-2666c19s-16grsso-16gb-ddr4-2666mhz-cl19-gskill-ripjaws/,F4-2666C19S-16GRS,vexio,/images/F4-2666C19S-16GRS.jpeg,Laptop & Accesorii
Kensington Geanta laptop 12 inch Classic Case,134.99,-1,1,https://www.vexio.ro/genti-rucsaci-si-huse/kensington/366079-geanta-laptop-12-inch-classic-case/,K62569US,vexio,/images/K62569US.jpeg,Laptop & Accesorii
"Lenovo B210 15.6 inch, Black",63.99,-1,1,https://www.vexio.ro/genti-rucsaci-si-huse/lenovo/389323-b210-15-6-inch-black/,4X40T84059,vexio,/images/4X40T84059.jpeg,Laptop & Accesorii
"Rucsac Asus Nereus 16"" Negru",83.99,-1,1,https://www.vexio.ro/genti-rucsaci-si-huse/asus/389326-nereus-16-negru/,90-XB4000BA00060-,vexio,/images/90-XB4000BA00060-.jpeg,Laptop & Accesorii
ALIMENTATOR UNIVERSAL LAPTOP 120W USB,183.99,-1,1,https://www.vexio.ro/incarcatoare-laptop/generic/394582-alimentator-universal-laptop-120w-usb/,UNI120USB,vexio,/images/UNI120USB.jpeg,Laptop & Accesorii
"Rucsaac pentru laptop Lenovo Casual B210 GX40Q17226 de 15.6"" Albastru",59.99,-1,1,https://www.vexio.ro/genti-rucsaci-si-huse/lenovo/403087-rucsaac-pentru-laptop-lenovo-casual-b210-gx40q17226-de-15-6-albastru/,GX40Q17226,vexio,/images/GX40Q17226.jpeg,Laptop & Accesorii
Cheie bloccare diverse combinatii Kensington ClickSafe,297.99,-1,1,https://www.vexio.ro/accesorii-laptop/kensington/429877-cheie-bloccare-diverse-combinatii-kensington-clicksafe/,K64697EU,vexio,/images/K64697EU.jpeg,Laptop & Accesorii
Protecție Kensington MicroSaver 2.0 Keyed Lock,137.99,-1,1,https://www.vexio.ro/accesorii-laptop/kensington/429901-protectie-kensington-microsaver-2-0-keyed-lock/,K65020EU,vexio,/images/K65020EU.jpeg,Laptop & Accesorii
